account_number,customer_id,branch_id,account_type_id,balance,open_date,account_status,last_transaction_date
100000000001,1,94,1,96618,2018-12-24,Active,2022-11-20
100000000002,2,11,1,62655,2024-03-28,Active,2024-12-24
100000000003,3,40,1,112209,2023-03-10,Active,2026-04-20
100000000004,3,19,2,447545,2022-06-14,Inactive,2024-04-17
100000000005,4,27,1,219797,2025-02-14,Inactive,2025-05-10
100000000006,5,105,1,149587,2025-07-26,Active,2025-09-11
100000000007,6,1,3,167367,2017-11-12,Active,2025-08-15
100000000008,7,108,1,90217,2020-12-24,Active,2021-05-21
100000000009,7,103,1,129374,2019-12-24,Inactive,2022-10-30
100000000010,8,97,3,33191,2020-05-29,Active,2023-01-15
100000000011,8,100,4,2122748,2019-12-20,Active,2021-06-26
100000000012,9,68,2,1466533,2018-11-24,Active,2020-07-01
100000000013,9,47,2,1157663,2022-05-28,Active,2023-12-23
100000000014,9,105,4,3420007,2023-06-21,Active,2024-05-13
100000000015,10,109,1,232781,2023-05-11,Active,2025-04-26
100000000016,11,66,2,937356,2025-12-13,Active,2026-03-30
100000000017,11,8,2,1241977,2022-11-18,Active,2023-07-25
100000000018,12,36,3,43176,2018-08-12,Active,2020-02-24
100000000019,12,101,2,273762,2016-08-06,Active,2023-04-29
100000000020,13,28,1,167455,2019-01-05,Active,2025-08-04
100000000021,13,59,2,1211629,2026-02-17,Active,2026-03-20
100000000022,14,16,1,106097,2019-10-12,Active,2021-03-13
100000000023,15,14,1,209391,2016-12-11,Active,2020-12-24
100000000024,15,85,1,84427,2024-02-15,Active,2025-10-09
100000000025,16,21,3,10190,2018-08-27,Active,2023-12-17
100000000026,16,7,1,253447,2025-12-04,Active,2025-12-24
100000000027,17,18,3,41279,2020-09-14,Active,2025-12-19
100000000028,17,9,1,52284,2025-02-16,Active,2025-09-29
100000000029,17,55,2,863100,2022-04-06,Active,2024-07-04
100000000030,18,78,1,243141,2022-05-04,Active,2024-08-23
100000000031,19,107,1,81195,2022-09-04,Active,2024-09-24
100000000032,19,52,1,146026,2023-05-03,Inactive,2023-08-07
100000000033,20,7,2,219105,2018-03-23,Active,2025-10-18
100000000034,20,102,1,147295,2021-08-08,Active,2025-04-18
100000000035,21,30,3,215654,2020-10-18,Active,2022-11-02
100000000036,22,83,2,480681,2023-12-11,Active,2026-02-15
100000000037,23,46,1,50527,2024-11-23,Active,2026-02-18
100000000038,23,99,1,237956,2020-10-28,Active,2022-01-28
100000000039,24,110,4,241573,2017-06-28,Active,2023-01-18
100000000040,25,90,2,321256,2019-04-21,Active,2019-10-07
100000000041,26,51,2,1495273,2021-03-07,Active,2022-03-17
100000000042,27,117,1,239174,2017-05-13,Active,2021-02-02
100000000043,28,10,2,1172592,2021-10-09,Active,2026-03-26
100000000044,29,110,1,76336,2020-03-08,Active,2025-09-20
100000000045,29,17,1,63219,2026-03-02,Active,2026-05-10
100000000046,30,103,1,121961,2022-03-06,Active,2026-01-19
100000000047,30,12,1,189260,2016-09-17,Active,2018-08-26
100000000048,31,20,3,109112,2024-08-03,Active,2024-12-30
100000000049,32,13,2,635968,2025-06-08,Active,2025-09-08
100000000050,33,98,2,328265,2020-01-22,Active,2020-06-06
100000000051,33,46,1,81906,2023-02-18,Active,2026-03-20
100000000052,34,63,1,59597,2018-04-09,Active,2021-09-04
