customer_id,card_number,card_type,credit_limit,outstanding_amount,due_date
3,8195237661093299,MasterCard,500000,238512,2026-07-17
7,7080265207546844,Visa,200000,113643,2026-07-19
9,9130866110025051,American Express,50000,5252,2026-08-05
5,2185358958410288,MasterCard,50000,43176,2026-07-13
6,8213591246838867,MasterCard,100000,40554,2026-07-10
3,3683685848298572,RuPay,100000,24719,2026-07-28
6,5573760435222038,MasterCard,500000,437711,2026-08-04
7,3214864457331207,RuPay,500000,291189,2026-07-22
7,6666447863761066,Visa,100000,85005,2026-07-16
3,7261008191633279,American Express,50000,39502,2026-08-11
3,4967991056706602,MasterCard,1000000,170435,2026-08-16
3,3254254303482826,MasterCard,50000,43627,2026-08-08
8,7124988260687601,Visa,500000,66382,2026-07-03
10,2928062025938469,RuPay,100000,94018,2026-07-17
10,4273469548901053,RuPay,200000,138459,2026-07-21
9,2280895587138236,American Express,200000,126763,2026-08-15
1,9135339296796737,American Express,50000,19654,2026-08-25
5,9514831484160973,American Express,100000,92654,2026-07-31
9,6539207723936032,RuPay,500000,472739,2026-08-05
3,4549226930940359,RuPay,50000,44300,2026-08-18
3,7880031107379311,RuPay,50000,49406,2026-07-26
2,8889782584571443,MasterCard,50000,39017,2026-08-21
5,2651512036912736,MasterCard,1000000,651347,2026-08-28
10,5886355162847510,American Express,200000,87488,2026-07-08
1,2179801971146622,MasterCard,50000,31163,2026-07-18
9,3947796011611296,MasterCard,50000,47192,2026-07-07
1,6012139704880301,Visa,500000,380033,2026-08-02
7,8566153847836860,American Express,100000,81065,2026-08-16
9,9462662592389673,American Express,50000,45929,2026-07-21
3,791602025632309,Visa,50000,31055,2026-07-14
4,7216735210028779,Visa,100000,20639,2026-08-09
1,700270988943479,Visa,100000,27751,2026-07-17
2,889484124069728,American Express,200000,17511,2026-08-15
1,2836706708487776,American Express,1000000,447036,2026-08-18
8,2521639891714629,American Express,200000,182311,2026-07-12
9,1624677213868921,RuPay,100000,79490,2026-07-23
7,1203369312570060,American Express,100000,27352,2026-07-14
2,9737300903684668,American Express,1000000,282053,2026-08-11
5,8115591850248717,MasterCard,50000,12483,2026-08-13
1,8182465441693211,Visa,500000,142295,2026-08-05
5,7525763034110189,Visa,200000,9895,2026-08-22
9,3759263869674970,American Express,200000,60811,2026-07-17
1,7219908697242551,RuPay,50000,14396,2026-08-12
1,3431365744660259,RuPay,50000,38349,2026-07-28
6,852980496669891,MasterCard,500000,17668,2026-07-25
2,4889240250010584,RuPay,50000,45416,2026-08-09
9,679980529975504,Visa,100000,20832,2026-07-03
1,5305562614228177,American Express,200000,132998,2026-07-05
3,175468323300756,American Express,500000,200358,2026-07-25
4,5367928379427225,RuPay,100000,21100,2026-07-10
2,1564308063644710,MasterCard,500000,331851,2026-07-05
7,5837381760757616,Visa,1000000,897372,2026-08-28
5,3319527697254026,MasterCard,100000,14586,2026-08-15
1,9977526000411519,American Express,500000,421336,2026-07-11
7,58002231928032,Visa,200000,22922,2026-07-16
1,5760761051106166,Visa,500000,218224,2026-07-04
10,3143299287650876,Visa,100000,62996,2026-08-21
2,3519774862071973,Visa,200000,163922,2026-08-08
9,2900047428721587,MasterCard,1000000,877464,2026-07-23
3,1318152395997687,MasterCard,1000000,612580,2026-08-30
3,7880483888496719,American Express,200000,193121,2026-08-16
2,2000408954563967,RuPay,500000,441687,2026-08-28
2,4018760595437778,RuPay,500000,479525,2026-08-01
4,7746224595225614,Visa,200000,60000,2026-07-07
1,1251236018038232,Visa,100000,66402,2026-08-06
9,7953961208627766,American Express,50000,8192,2026-07-07
1,8658147925362276,American Express,500000,183569,2026-08-12
4,1594483798244349,RuPay,500000,24911,2026-07-13
1,9998508181467226,Visa,1000000,550851,2026-07-31
3,2530445038276248,MasterCard,50000,37902,2026-08-27
8,2642498317863591,MasterCard,50000,7459,2026-08-25
6,6835069219056676,RuPay,200000,31484,2026-07-19
2,2089739200428618,American Express,200000,79941,2026-07-13
10,4086791440319525,Visa,100000,42665,2026-08-17
3,630996103333714,MasterCard,200000,156454,2026-08-05
4,9126265303756012,Visa,500000,42938,2026-07-04
6,1601973615476828,RuPay,1000000,213607,2026-07-13
5,938746215320615,Visa,100000,87363,2026-07-15
8,9198567321381494,MasterCard,50000,13407,2026-08-18
8,8870547154473255,Visa,1000000,885391,2026-08-18
9,528857602496078,Visa,500000,183752,2026-07-07
2,9440636725637663,American Express,500000,31845,2026-08-30
7,3311001835586067,American Express,100000,25479,2026-07-13
3,4191474507837175,RuPay,100000,34859,2026-07-06
4,2050550578103634,American Express,200000,104941,2026-08-16
5,2163573974115256,RuPay,200000,7215,2026-07-24
4,5519677666024753,Visa,1000000,184589,2026-08-01
7,7883462706717442,RuPay,50000,47180,2026-08-01
2,1590097075277767,American Express,100000,80797,2026-07-21
6,2764183481185194,MasterCard,100000,86698,2026-07-18
7,7634354675009605,RuPay,50000,30564,2026-07-21
1,5676267809268973,Visa,200000,130786,2026-07-10
2,5664671896336535,RuPay,200000,10884,2026-08-30
10,7992238828880804,RuPay,500000,301635,2026-07-28
9,2923307295559864,RuPay,500000,190718,2026-07-04
3,7953517257438191,MasterCard,100000,96722,2026-08-17
6,1497616472824520,American Express,500000,405700,2026-08-06
10,7661371513416780,American Express,500000,129443,2026-08-20
2,3501936610738938,MasterCard,1000000,221682,2026-08-09
2,3692616087304513,Visa,100000,10583,2026-08-14
10,3918432896503231,MasterCard,200000,126491,2026-07-28
6,4680446589037549,Visa,500000,362471,2026-07-31
10,4338605306727206,RuPay,200000,124823,2026-08-04
6,945215683745489,RuPay,50000,33365,2026-08-22
10,2156264074761694,RuPay,100000,49076,2026-08-12
4,6669987455305165,Visa,500000,227731,2026-07-19
1,4297443422750945,Visa,200000,21364,2026-07-23
5,387152427322510,American Express,500000,487737,2026-08-11
9,6076252749292547,Visa,200000,193756,2026-08-17
8,8987606751039939,Visa,200000,47802,2026-07-06
2,889835567146216,MasterCard,500000,321671,2026-08-29
9,747948606727314,MasterCard,50000,22206,2026-07-10
7,5198619140914539,American Express,1000000,41588,2026-07-28
6,6553030879958304,American Express,500000,93055,2026-08-23
4,6123120914193010,Visa,1000000,714595,2026-08-03
8,7200709268766935,RuPay,200000,413,2026-08-19
7,4447629368571613,RuPay,50000,29533,2026-08-31
4,1758470183551159,MasterCard,500000,256482,2026-08-20
8,3181747040628087,RuPay,100000,26882,2026-08-23
7,1454620578875992,American Express,50000,1638,2026-07-10
2,5041951572480092,MasterCard,1000000,254723,2026-07-04
4,7325527723560932,MasterCard,500000,438775,2026-08-18
7,4920166768204675,American Express,200000,77803,2026-07-07
7,9171456296162167,American Express,500000,301627,2026-08-18
2,2851045445057414,MasterCard,1000000,598350,2026-07-30
1,7267270350960439,Visa,1000000,783279,2026-08-08
1,82235908813586,American Express,1000000,448883,2026-08-14
7,1468182784215714,Visa,100000,2661,2026-07-29
2,1776853201863335,American Express,100000,87830,2026-08-23
5,7628873931930246,MasterCard,200000,136080,2026-07-29
10,5005030758474575,RuPay,500000,490232,2026-08-18
6,770250334355796,RuPay,200000,106885,2026-08-25
2,5606615560699620,American Express,500000,121750,2026-08-20
1,1635051470569003,Visa,200000,142331,2026-07-20
6,9541515557659523,RuPay,500000,215906,2026-08-19
8,2805235171386620,American Express,100000,92149,2026-07-11
10,714487164160331,RuPay,1000000,376620,2026-08-11
1,3197347199795631,Visa,50000,25655,2026-08-10
9,8104208495803174,MasterCard,500000,462687,2026-08-26
3,5189707774771728,Visa,200000,13017,2026-08-07
2,8117973560981765,American Express,1000000,848955,2026-08-13
6,8812682109613778,MasterCard,50000,22816,2026-08-30
6,8516650104327493,RuPay,100000,75269,2026-08-23
9,5161071683828582,RuPay,1000000,976406,2026-07-16
6,450374604627062,RuPay,200000,82083,2026-08-09
2,1995192214801068,RuPay,100000,87451,2026-08-10
8,4376124815021949,MasterCard,1000000,665536,2026-08-28
4,4327620876201030,MasterCard,100000,44219,2026-07-16
7,3116015252598405,MasterCard,500000,245440,2026-08-17
7,5346582776907665,MasterCard,200000,172867,2026-08-11
4,6999370139834133,MasterCard,1000000,930628,2026-08-22
5,8540515311566712,RuPay,200000,127042,2026-08-09
9,580134717756548,RuPay,1000000,294018,2026-07-14
1,1049860719181469,American Express,500000,326528,2026-08-21
9,7711761993640599,RuPay,500000,252686,2026-07-04
9,3987926020358289,Visa,500000,378629,2026-08-09
