customer_code,first_name,last_name,gender,date_of_birth,email,phone,city,state,annual_income,credit_score,join_date,customer_status
CUST000001,Shivam,Reddy,Male,1960-05-31,shivam.reddy1@gmail.com,9030156252,Ahmedabad,Gujarat,1898502,658,2024-04-26,Active
CUST000002,Manav,Verma,Male,1981-06-17,manav.verma2@gmail.com,9164150867,Bengaluru,Karnataka,2162375,569,2019-06-22,Active
CUST000003,Mohit,Kapoor,Male,1998-07-06,mohit.kapoor3@gmail.com,9603066940,Lucknow,Uttar Pradesh,1105090,482,2023-03-10,Active
CUST000004,Ishita,Nair,Female,2000-04-23,ishita.nair4@gmail.com,7731159661,Chennai,Tamil Nadu,2184031,868,2022-06-14,Active
CUST000005,Riya,Verma,Female,1980-01-02,riya.verma5@gmail.com,6024245471,Ahmedabad,Gujarat,2778167,705,2025-02-14,Active
CUST000006,Rahul,Yadav,Male,2004-12-10,rahul.yadav6@gmail.com,9924641661,Mumbai,Maharashtra,1244994,758,2018-05-16,Active
CUST000007,Pooja,Pandey,Female,1986-10-07,pooja.pandey7@gmail.com,9250695922,Kochi,Kerala,470023,553,2018-07-25,Active
CUST000008,Radhika,Agarwal,Female,1955-12-16,radhika.agarwal8@gmail.com,8928364746,Gurgaon,Haryana,1689771,855,2024-04-04,Active
CUST000009,Shreya,Kulkarni,Female,1968-06-05,shreya.kulkarni9@gmail.com,9495323822,Delhi,Delhi,674977,607,2017-04-25,Active
CUST000010,Anjali,Nair,Female,1995-05-02,anjali.nair10@gmail.com,9440735795,Gurgaon,Haryana,2319813,896,2019-12-24,Active
CUST000011,Ritik,Agarwal,Male,1973-04-28,ritik.agarwal11@gmail.com,6234444363,Ahmedabad,Gujarat,1404065,423,2020-05-29,Active
CUST000012,Raj,Bose,Male,1971-07-23,raj.bose12@gmail.com,6929693032,Kanpur,Uttar Pradesh,2979781,881,2019-12-20,Active
CUST000013,Aanya,Verma,Female,1962-08-24,aanya.verma13@gmail.com,6828191428,Noida,Uttar Pradesh,2453197,421,2018-11-24,Active
CUST000014,Vivaan,Kulkarni,Male,1963-05-03,vivaan.kulkarni14@gmail.com,7720604602,Hyderabad,Telangana,885422,788,2022-05-28,Inactive
CUST000015,Shivam,Yadav,Male,1975-09-07,shivam.yadav15@gmail.com,9430621697,Delhi,Delhi,2237580,348,2023-06-21,Inactive
CUST000016,Rohan,Verma,Male,2007-04-25,rohan.verma16@gmail.com,6601206214,Delhi,Delhi,1138041,392,2020-02-02,Active
CUST000017,Aman,Singh,Male,1977-12-06,aman.singh17@gmail.com,7831059528,Kochi,Kerala,2238626,761,2024-05-06,Active
CUST000018,Khushi,Joshi,Female,1988-04-18,khushi.joshi18@gmail.com,8489951124,Kanpur,Uttar Pradesh,1303686,727,2021-03-11,Active
CUST000019,Ayush,Patel,Male,2004-06-02,ayush.patel19@gmail.com,7155291102,Kanpur,Uttar Pradesh,1931015,566,2022-11-18,Active
CUST000020,Rahul,Kapoor,Male,1961-06-02,rahul.kapoor20@gmail.com,7677365789,Delhi,Delhi,1388364,302,2018-08-12,Active
